title,vote_average,vote_count,release_date,runtime,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,keywords,revenue
Wind River,7.428,4747,2017-08-03,107.0,11000000.0,en,Wind River,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,22.336,Nothing is harder to track than the truth.,"Crime, Drama, Mystery, Thriller","Savvy Media Holdings, Thunder Road, Film 44, Acacia Filmed Entertainment, Riverstone Pictures, Voltage Pictures, Synergics Films, Star Thrower Entertainment, Tunica-Biloxi Tribe of Louisiana, The Fyzz, Wild Bunch","France, United Kingdom, United States of America",English,"wyoming, usa, rape, gun, fbi, mountain, investigation, native american, forest, murder, shootout, photograph, native american reservation, binoculars, rape and revenge, snowmobile, missing and murdered indigenous women",44.998252
Chisum,6.8,166,1970-07-23,111.0,4000000.0,en,Chisum,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County land war.,10.254,THE LEGEND - John Wayne is 'Chisum',Western,"Batjac Productions, Warner Bros. Pictures",United States of America,English,"cattle, quick draw, pat garrett",6.0
The Young and Prodigious T.S. Spivet,6.793,691,2013-10-16,105.0,33000000.0,en,The Young and Prodigious T.S. Spivet,A 10-year-old child prodigy cartographer secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother and travels across the country on board a freight train to receive an award at the Smithsonian Institute.,15.229,Discover the extravagant journey.,"Adventure, Drama, Family","Epithète Films, Cross Creek Pictures, Tapioca Films","Canada, France",English,"freight train, stowaway, child prodigy, twin brother, train, boy genius, riding the rail, runaway child, brother killing brother, smithsonian, cartographer, perpetual motion machine",9.494789
The Light Between Oceans,7.084,1279,2016-09-02,133.0,20000000.0,en,The Light Between Oceans,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from an adrift rowboat.,10.956,Love demands everything,"Drama, Romance","DreamWorks Pictures, Heyday Films, Participant, Amblin Entertainment, LBO Productions, Reliance Entertainment","India, United Kingdom, United States of America",English,"australia, based on novel or book, marriage, lighthouse, lighthouse keeper   , miscarriage, lost child, 1920s",25.975621
Anjaana Anjaani,6.049,72,2010-09-24,151.0,6400000.0,hi,Anjaana Anjaani,"Akash and Kiara are trying to find luck in their life after several failed attempts to be successful in their careers and in love. Fed up, they both decide to commit suicide by jumping off a bridge. However, both land up on the same bridge at the same time.",7.453,All the greatest love stories... are between strangers.,"Comedy, Drama, Romance","Curbside Films, Eros Worldwide, Nadiadwala Grandson Entertainment",India,Hindi,"new york city, suicide attempt, road trip, romance, love, hospital, las vegas, san francisco",5.9
The Proposition,7.044,566,2005-10-06,104.0,2000000.0,en,The Proposition,"In 1880s Australia, a lawman offers renegade Charlie Burns a difficult choice. In order to save his younger brother from the gallows, Charlie must hunt down and kill his older brother, who is wanted for rape and murder. Venturing into one of the Outback's most inhospitable regions, Charlie faces a terrible moral dilemma that can end only in violence.",14.496,This land will be civilized.,"Action, Adventure, Crime, Drama, Thriller, Western","UK Film Council, Surefire Film Productions, Autonomous, Pictures in Paradise, Jackie O Productions, Pacific Film and Television Commission, Film Consortium, National Lottery","Australia, United Kingdom",English,"australia, bounty hunter, psychopath, gallows, outlaw, misanthrophy, decapitation, gang, shootout, sadist, brutality, hideout, retribution, flogging, whipping, sunset, australian outback, christmas, 19th century, aborigine, savagery, australian western",5.048693
The Spy,5.161,31,2012-04-05,99.0,6000000.0,ru,Шпион,Spring 1941. Center of Moscow. Duel of the two intelligence services turns more and more tense.,1.856,,"Action, Thriller","VGTRK, Studio Trite, Revolution Sun Studios, Central Partnership",Russia,Russian,,4.588176
Beastmaster 2: Through the Portal of Time,4.8,54,1991-06-08,107.0,6000000.0,en,Beastmaster 2: Through the Portal of Time,"Mark Singer returns as Dar, the warrior who can talk to the beasts. Dar is forced to travel to earth to stop his evil brother from stealing an atomic bomb, and turning their native land from a desert into... well... a desert! Written by Jim Palin",11.068,An awesome hero. An invincible villain. Time travel to a distant world. It's gonna be a wild weekend.,"Action, Adventure, Fantasy, Science Fiction",Les Films 21,United States of America,English,"based on novel or book, time travel, sequel, gunfight, combat, peplum, loin cloth, warrior, time portal, gun fight, sword and sorcery",0.869325
Rampart,5.489,324,2011-11-23,108.0,12000000.0,en,Rampart,"The story follows veteran police officer Dave Brown, the last of the renegade cops, as he struggles to take care of his family, and fights for his own survival.",12.23,The most corrupt cop you've ever seen on screen,"Crime, Drama","Lightstream Pictures, Waypoint Entertainment, TheThird Mind Pictures, Amalgam Features",United States of America,English,"confession, one-night stand, police corruption, racism, brutality, district attorney, racial tension, gunshot, ex-wife, bigotry, road rage, lapd, homeless man, ethnic diversity, racist cop",0.972512
Stomp the Yard,6.971,393,2007-05-16,114.0,13000000.0,en,Stomp the Yard,"After the death of his younger brother, a troubled 19-year-old street dancer from Los Angeles is able to bypass juvenile hall by enrolling in the historically black, Truth University in Atlanta, Georgia. But his efforts to get an education and woo the girl he likes are sidelined when he is courted by the top two campus fraternities, both of which want and need his fierce street-style dance moves to win the highly coveted national step show competition.",21.095,He will challenge their traditions. Their traditions will change his life.,"Drama, Music","Screen Gems, Rainforest Entertainment",United States of America,English,"daughter, loss of loved one, love at first sight, breakdance",75.511123
Everything Must Go,6.153,546,2011-05-13,97.0,5000000.0,en,Everything Must Go,"When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",13.785,Lost is a good place to find yourself,"Comedy, Drama, Romance",IM Global,United States of America,English,"alcohol, pregnancy, arizona, beer, playboy, salesman, repo man",2.614773
Akira,7.946,3727,1988-07-16,124.0,10000000.0,ja,AKIRA,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,32.116,Neo-Tokyo is about to E.X.P.L.O.D.E.,"Animation, Science Fiction, Action","MBS, Sumitomo Corporation, TOHO, Studio Fuga, Studio Aoi, Kodansha, Bandai Entertainment, Tokyo Movie Shinsha",Japan,Japanese,"army, street gang, saving the world, total destruction, experiment, general, megacity, atomic bomb, stadium, underground, mutation, dystopia, cyberpunk, motorcycle gang, adult animation, psychotronic, anime, 2010s",0.553171
Tron,6.668,2066,1982-07-09,96.0,17000000.0,en,Tron,"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...and becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",22.842,A world inside the computer where man has never been. Until now.,"Science Fiction, Action, Adventure","Lisberger/Kushner Productions, Walt Disney Productions",United States of America,English,"hacker, video game, virtual reality, dystopia, simulation, super computer, utopia, computer simulation, simulated reality , arcade game, light cycle",33.0
L'Amour flou,6.0,95,2018-10-10,97.0,495343.0,fr,L'Amour flou,"Romane and Philippe separate. After 10 years together, two children and a dog, they do not love each other anymore. They give birth to a ""separation"": two separate apartments, communicating only through the room of their children.",4.814,,Comedy,Escazal Films,France,French,,1.399479
Bones,4.667,135,2001-10-24,96.0,10000000.0,en,Bones,"Over 20 years after his death, local legend and benefactor Jimmy Bones returns as a ghost to avenge those who killed him and restore his neighborhood",7.833,Unleash the Dogg.,"Horror, Thriller",New Line Cinema,United States of America,"French, English","drug dealer, dying and death, skeleton, black people, crack",7.316658
The Lego Movie,7.418,7233,2014-02-06,100.0,60000000.0,en,The Lego Movie,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",30.267,The story of a nobody who saved everybody.,"Animation, Family, Adventure, Comedy, Fantasy","Village Roadshow Pictures, RatPac Entertainment, LEGO, Lin Pictures, Vertigo Entertainment, Warner Bros. Pictures Animation, Animal Logic","Australia, Denmark, United States of America",English,"friendship, parent child relationship, prophecy, superhero, based on comic, part live action, based on toy, falling in love, super power, good cop bad cop, duringcreditsstinger, live action and animation, lego, father son relationship, evil tyrant",469.160692
Begin Again,7.245,3563,2013-09-07,104.0,8000000.0,en,Begin Again,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",17.403,You're only as strong as your next move.,"Comedy, Music, Romance, Drama","Likely Story, Exclusive Media, Sycamore Pictures, Apatow Productions, Black Label Media",United States of America,English,"new york city, music recording, singer-songwriter, street musician, city life, recording session, street singer",63.464861
The Mother of Tears,4.463,388,2007-09-06,102.0,3500000.0,it,La terza madre,"An ancient urn is found in a cemetery outside Rome. Once opened, it triggers a series of violent incidents: robberies, rapes and murders increase dramatically, while several mysterious, evil-looking young women coming from all over the world are gathering in the city. All these events are caused by the return of Mater Lacrimarum, the last of three powerful witches who have been spreading terror and death for centuries. Alone against an army of psychos and demons, Sarah Mandy, an art student who seems to have supernatural abilities of her own, is the only person left to prevent the Mother of Tears from destroying Rome.",9.004,What you see does not exist. What you cannot see is truth.,Horror,"Film Commission Torino Piemonte, Myriad Pictures, Opera Film Produzione, Medusa Film, Sky Cinema",Italy,English,"witch, sacrifice, rome, italy, coffin, cult, urn, paranormal, torture, body mutilation",3.119957
42,7.162,1655,2013-04-12,128.0,40000000.0,en,42,"In 1946, Branch Rickey (Harrison Ford), owner of the Brooklyn Dodgers, took a stand against Major League Baseball's infamous colour line when he signed Jackie Robinson (Chadwick Boseman) to the team. The deal put both men in the crosshairs of the public, the press and even other players. Facing unabashed racism from every side, Robinson was forced to demonstrate tremendous courage and let his talent on the field wins over fans and his teammates – silencing his critics and forever changing the world by changing the game of baseball.",21.509,The True Story of an American Legend,Drama,"Warner Bros. Pictures, Legendary Pictures",United States of America,English,"sports, baseball, biography, racial segregation, racial tension, racial prejudice, brooklyn dodgers, 1940s",95.020213
The Angry Birds Movie,6.205,3369,2016-05-11,97.0,73000000.0,en,The Angry Birds Movie,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.",24.75,Why so angry?,"Animation, Adventure, Comedy","Columbia Pictures, Rovio Entertainment, Rovio Animation","Finland, United States of America",English,"island, pig, rivalry, anthropomorphism, based on video game, duringcreditsstinger, anger management, animal kingdom, bird",349.779543
Wind,6.484,32,1992-09-11,126.0,29000000.0,en,Wind,"In 1983, yacht sailor Will Parker leads an American crew financed by millionaire Morgan Weld to defeat during the America's Cup race against an Australian crew. Determined to get the prize back, Will convinces Morgan to finance an experimental boat designed by his ex-girlfriend Kate's new beau, Joe Heisler. When the boat is completed, the Americans head to Australia to reclaim the cup.",8.87,The only thing better than winning the America's Cup is losing it... and winning it back.,"Action, Drama","American Zoetrope, TriStar Pictures",United States of America,English,"australia, sports, boat, sailing, race",5.519569
Hunting Elephants,6.521,24,2013-07-03,107.0,2300000.0,he,Hunting Elephants,"In this hilarious crime comedy, a gifted 12-year-old boy and three elderly men plan a bank robbery in order to seek revenge on the institution for cheating the youngster after the death of his father.",5.458,"The hilarious story of three old men, a clever kid, and a bank just waiting to be robbed.","Comedy, Crime","United King Films, Bleiberg Entertainment",Israel,"English, Hebrew, German","jerusalem, israel, old man, bank robbery, bank heist",4.5
The Man from Elysian Fields,5.704,49,2001-09-13,106.0,6500000.0,en,The Man from Elysian Fields,A failed novelist's inability to pay the bills strains relations with his wife and leads him to work at an escort service where he becomes entwined with a wealthy woman whose husband is a successful writer.,5.293,,"Drama, Romance","TVA International, CineSon Entertainment, Fireworks Pictures, Gold Circle Films, Pfilmco, Shoreline Entertainment",United States of America,English,prostitution,2.006391
Everyone's Hero,5.862,257,2006-08-04,87.0,35000000.0,en,Everyone's Hero,A boy begins a grand journey to return Babe Ruth's baseball bat before the deciding game of the 1932 World Series comes to a close.,12.671,"No matter where life takes you, always keep swingin'","Adventure, Animation, Comedy, Family","Dan Krech Productions, IDT Entertainment, Arc Productions, 20th Century Fox","Canada, United States of America",English,"sports, baseball, baseball bat, theft, yankee stadium, world series, 1930s",16.627188
It Could Happen to You,6.5,639,1994-07-29,101.0,20000000.0,en,It Could Happen to You,"Charlie Lang is a simple, kindhearted New York City cop. When he realizes he has no money to tip waitress Yvonne Biasi, Lang offers her half the winnings of his lottery ticket. Amazingly, the ticket happens to be a winner, in the sum of $4 million. True to his word, Lang proceeds to share the prize money with Biasi, which infuriates his greedy wife, Muriel. Not content with the arrangement, Muriel begins scheming to take all the money.",15.127,A cop. A waitress. A lottery ticket.,"Comedy, Drama, Romance",TriStar Pictures,United States of America,English,"new york city, waitress, greed, diner, based on true story, cop, fame, news reporter, newspaper article, lottery ticket, winning lottery, new-found fame, man of his word, romantic, comforting",37.939757
Les Milles,5.8,12,1995-08-22,103.0,7500000.0,fr,Les Milles,"In the beginning of the Second World War, Germans, Austrians and persons without nationality living in France are sent to the concentration camp of Les Milles by France government. Commander Charles Perrochon is the responsible for this camp and he promises to the leaders of the prisoners to protect them from the Nazis. When France is invaded by the Germans, Commander Perronchon will disobey orders and his superiors trying to save these men. He gets a train, a ship and money from USA to send about eight hundred of these prisoners to the safety of Casablanca, in Marrocos.",1.793,,"War, Drama",Blue Films,"Poland, France, Germany",French,,1.4
American Hustle,6.848,6821,2013-12-03,138.0,40000000.0,en,American Hustle,"A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",20.876,Everyone hustles to survive.,"Drama, Crime","Annapurna Pictures, Atlas Entertainment, Columbia Pictures",United States of America,English,"new jersey, 1970s, fbi, mayor, con artist, mobster, scam, hair, century",251.171807
Getaway,5.044,580,2013-08-29,90.0,18000000.0,en,Getaway,"Former race car driver Brent Magna is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner on a high-speed race against time, at the command of the mysterious villain holding his wife hostage.",11.451,Get in. Get out. Getaway.,"Action, Crime","Saints LA, Dark Castle Entertainment, After Dark Films, Signature Pictures, Silver Reel, Dunulf Productions, Emmitt Productions Limited, The Fyzz, ADF Acquisitions, Bomar OOD","Bulgaria, United States of America",English,"race against time, driver",10.501938
Where Do We Go Now?,7.471,175,2011-09-14,110.0,21000000.0,ar,وهلأ لوين؟‎,"On a remote, isolated, unnamed Lebanese village inhabited by both Muslims and Christians. The village is surrounded by land mines and only reachable by a small bridge. As civil strife engulfed the country, the women in the village learn of this fact and try, by various means and to varying success, to keep their men in the dark, sabotaging the village radio, then destroying the village TV.",8.777,,"Drama, Comedy",Les Films des Tournelles,"Egypt, France, Italy, Lebanon, Qatar","English, Arabic, Russian","religious conflict, hijab, religious differences, woman director",6.7
The 15:17 to Paris,5.423,1509,2018-02-07,94.0,30000000.0,en,The 15:17 to Paris,"On Aug. 21, 2015, the world watches in stunned silence as the media reports a thwarted terrorist attack on a train that's bound for Paris -- an attempt prevented by three young Americans traveling together through Europe. The heroic and courageous actions of Anthony Sadler, Alek Skarlatos and Spencer Stone help to save the lives of more than 500 passengers on board.",16.183,In the face of fear ordinary people can do the extraordinary,"Drama, Thriller","Warner Bros. Pictures, Malpaso Productions, Village Roadshow Pictures, Dune Entertainment",United States of America,English,"paris, france, based on novel or book, classroom, train, terrorism, terrorist group",57.076286
The Big Bounce,4.9,227,2004-01-30,88.0,50000000.0,en,The Big Bounce,"A small-time con artist and a Hawaiian real estate developer's mischievous, enterprising mistress team up for a potential $200,000 score.",10.724,It's all in who you trust,"Comedy, Crime","Shangri-La Entertainment, Material, Taormina Productions",United States of America,English,"hotel, robbery, based on novel or book, judge, yacht, blackmail, hawaii, seduction, stolen money, delinquency, deception, safe, waterfall, skinny dipping, cell phone, double cross, beach house, elmore leonard, scheming",6.80855
On Wings of Eagles,5.5,41,2016-06-17,96.0,12000000.0,en,On Wings of Eagles,Eric Liddell - China's first gold medalist and one of Scotland's greatest athletes - returns to war-torn China.,8.291,,"Drama, History, War","MGK Multimedia, Beijing Forbidden City Film, Innowave Limited, Goodland Pictures, BondIt","China, Hong Kong, United States of America","Mandarin, English, Japanese","sports, prisoner of war, based on true story, japanese occupation of china",0.155111
Seabiscuit,7.001,751,2003-07-22,141.0,87000000.0,en,Seabiscuit,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,16.019,The hopes of a nation rode on a long shot.,"Drama, History","Touchstone Pictures, Universal Pictures, Spyglass Entertainment, The Kennedy/Marshall Company, DreamWorks Pictures",United States of America,English,"based on novel or book, horse race, american dream, horse, racehorse, great depression, based on true story, jockey, horse trainer, seabiscuit, 1930s",148.336445
Ali G Indahouse,6.058,1248,2002-03-21,85.0,7000000.0,en,Ali G Indahouse,"Ali G unwittingly becomes a pawn in the evil Chancellor's plot to overthrow the Prime Minister of Great Britain. However, instead of bringing the Prime Minister down, Ali is embraced by the nation as the voice of youth and 'realness', making the Prime Minister and his government more popular than ever.",16.46,Me iz introducin a white paper.,Comedy,"Universal Pictures, WT2 Productions, Working Title Films","France, Germany, United Kingdom","English, Spanish, French","hip-hop, rapper, prime minister, minister, satire, parliament, marijuana, gang, youth center",25.9
Army of the Dead,6.247,3638,2021-05-14,148.0,90000000.0,en,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",32.495,Survivors take all.,"Action, Crime, Drama, Horror, Science Fiction, Thriller, Fantasy",The Stone Quarry,United States of America,"English, German, Spanish","casino, tiger, vault, mercenary, safe, heist, zombie animals, apocalypse, zombie, las vegas, widower, safecracker, booby trap, casino owner, walled city, zombie apocalypse, father daughter conflict, father daughter relationship, casino heist",190.7
My Favorite Wife,6.989,139,1940-05-17,88.0,921000.0,en,My Favorite Wife,"Seven years after a shipwreck in which she was presumed dead, Ellen Arden arrives home to find that her husband Nick has just remarried. The overjoyed Nick struggles to break the news to his new bride. But he gets a shock when he hears the whole story: Ellen spent those seven years alone on a desert island with another man.",11.149,"The funniest, fastest honeymoon ever screened!","Comedy, Romance",RKO Radio Pictures,United States of America,English,"jealousy, judge, shipwreck, marriage, presumed dead, screwball comedy, deserted island, comedy of remarriage",2.057
Big Game,5.473,1063,2014-09-05,90.0,8500000.0,en,Big Game,"Air Force One is shot down by terrorists, leaving the President of the United States stranded in the wilderness of Finland. 13-year-old Oskari is on a hunting mission to prove his maturity to his kinsfolk by tracking down a deer, but instead discovers the President in an escape pod. With the terrorists closing in to capture their prize, the unlikely duo team up to escape their hunters.",14.82,,"Action, Adventure, Thriller","Bavaria Film Partners, Subzero Film Entertainment, Altitude Film Entertainment, VisionPlus Fund I, Ketchup Entertainment, Waterstone Entertainment, Head Gear Films, Metrol Technology, Film House Germany, Egoli Tossell Film","Finland, Germany, United Kingdom","Finnish, English","escape, parachute, president, air force one, terrorism, explosion, finland",7.5
Hustle,5.936,46,1975-12-25,120.0,3050000.0,en,Hustle,"The body of teenager Gloria Hollinger is found dead on a Los Angeles beach, and Lt. Phil Gaines is in charge of the investigation. Gaines learns that the girl, a stripper and prostitute, committed suicide, but he ignores the connection between her and a powerful mob lawyer, Leo Sellers. Hollinger's father, however, is not satisfied with Gaines's results, and attempts to investigate the case on his own.",6.294,She's the call girl. He's the cop. They both take their jobs seriously.,"Crime, Drama, Mystery, Thriller","Paramount, Churchill Service Company, RoBurt, Zeeuwse Maatschappij N.V.",United States of America,English,"suicide, prostitute, beach, police, hostage, detective, murder",10.39
This Changes Everything,6.288,33,2019-06-28,97.0,64988.0,en,This Changes Everything,"An investigative look and analysis of gender disparity in Hollywood, featuring accounts from well-known actors, executives and artists in the Industry.",6.113,Voices can't be silenced forever,Documentary,"Alba Film, Artemis Rising, Good Deed Entertainment",United States of America,English,"feminism, sexism, institutional discrimination, feminist, hollywood, discrimination, movie making",0.125348
Ooops! Noah Is Gone...,6.337,285,2015-03-26,85.0,6000000.0,en,Ooops! Noah Is Gone...,"It's the end of the world. A flood is coming. Luckily for Dave and his son Finny, a couple of clumsy Nestrians, an Ark has been built to save all animals. But as it turns out, Nestrians aren't allowed. Sneaking on board with the involuntary help of Hazel and her daughter Leah, two Grymps, they think they're safe. Until the curious kids fall off the Ark. Now Finny and Leah struggle to survive the flood and hungry predators and attempt to reach the top of a mountain, while Dave and Hazel must put aside their differences, turn the Ark around and save their kids. It's definitely not going to be smooth sailing.",15.211,"One ark, 50,000 animals. What could go wrong?","Animation, Adventure, Comedy, Family","Moetion Films, Ulysses Filmproduktion, Fabrique d'images, Skyline Entertainment, Grid Animation","Belgium, Germany, Ireland, Luxembourg","German, Spanish, English, Dutch, Portuguese","animal, noah's ark, christian film",0.769028
Elemental,7.757,2467,2023-06-14,102.0,200000000.0,en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",1008.942,Opposites react.,"Animation, Comedy, Family, Fantasy, Romance","Walt Disney Pictures, Pixar",United States of America,English,"fire, computer animation, duringcreditsstinger, elements, water, city, hopeful",486.797988
Paws,4.3,24,1997-09-25,83.0,137731.0,en,Paws,A talking Terrier with impressive computer skills teams up with two youngsters to stop a million dollars from falling into the wrong hands.,2.807,Some heroes are all talk.,"Adventure, Family, Fantasy","Australian Film Finance Corporation, Latent Image Productions Pty. Ltd., New South Wales Film & Television Office, PolyGram Filmed Entertainment","Australia, United Kingdom",English,"talking dog, computer expert, fortune",1.778391
Acrimony,6.758,357,2018-03-30,120.0,20000000.0,en,Acrimony,A faithful wife takes action when it becomes clear to her that her devious husband has betrayed her.,8.641,Hell Hath No Fury,Thriller,Tyler Perry Studios,United States of America,English,"first time, court, obsession, harassment, marriage, manipulation, revenge, inheritance, class differences, rage, anger, therapy, death of mother, resentment, torment, hospitalization, naive young woman, hostile, out of control, restraining order, mentally unstable, lies, semi-narrative, woman scorned, sisters, crazy, taken advantage of, uncontrollable anger",34.764055
Reign Over Me,7.179,961,2007-03-22,124.0,20000000.0,en,Reign Over Me,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,13.599,Let in the unexpected.,Drama,"Columbia Pictures, Sunlight Productions, Relativity Media, Madison 23, Happy Madison Productions",United States of America,English,"airplane, loss of loved one, war on terror, confidence, trauma, leaving one's family, alone, grief, cowardliness, family, post 9/11",22.222308
Flipped,7.98,2654,2010-08-06,89.0,14000000.0,en,Flipped,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",32.9,You never forget your first love.,"Romance, Drama",Reiner / Greisman Productions,United States of America,English,"based on novel or book, shyness, family relationships, unrequited love, neighbor, teenage boy, first crush, young love, opposites attract, multiple perspectives, 1950s, 1960s, based on young adult novel",1.755212
Mrs. Brown's Boys D'Movie,5.151,63,2014-06-27,94.0,5900000.0,en,Mrs. Brown's Boys D'Movie,"When Moore Street market-trader Agnes Brown finds her livelihood under threat from a ruthless developer, she and her family embark on a campaign to save her stall, aided as only the Browns will be by a motley troop of blind trainee Ninjas, an alcoholic solicitor, and a barrister with Tourettes Syndrome.",4.139,,Comedy,"BBC Film, That's Nice Films, BocFlix","Ireland, United Kingdom",English,"court case, market, duringcreditsstinger, brendan ocarrol",23.0
True Romance,7.54,2456,1993-09-09,120.0,12500000.0,en,True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",30.742,"Stealing, cheating, killing. Who said romance was dead?","Action, Crime, Romance","Morgan Creek, Davis Films, August Entertainment, Warner Bros. Pictures","France, United States of America","English, Italian","hotel, parent child relationship, movie business, detective, mexican standoff, pimp, cocaine, ex-cop, love, murder, on the run, mafia, comic book shop, los angeles, california, drugs, detroit, michigan, illegal prostitution, sicilian, gun violence, aspiring actor, neo-noir, graphic violence",12.6
Antlers,6.276,963,2021-10-28,99.0,17000000.0,en,Antlers,"A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.",24.05,Pray it desires not you.,"Drama, Horror, Mystery","Searchlight Pictures, Phantom Four, Double Dare You Productions, Mirada Studio, TSG Entertainment",United States of America,English,"sheriff, superstition, trauma, native american, oregon, usa, creature, meth lab, school teacher, mining town, based on short story, wendigo, folk horror, myth",18.867659
The Countess,5.87,148,2009-03-13,100.0,8500000.0,en,The Countess,"Kingdom of Hungary, 17th century. As she gets older, powerful Countess Erzsébet Báthory (1560-1614), blinded by the passion that she feels for a younger man, succumbs to the mad delusion that blood will keep her young and beautiful forever.",11.408,She sacrificed all for love and others for beauty,"Drama, History","X Filme International, Celluloid Dreams Productions, X Filme Creative Pool, Fanes Film, Social Capital","France, Germany, United States of America","English, French","hungary, biography, serial killer, older woman younger man relationship, revisionist history, noblewoman, woman director, 17th century, gerascophobia, holy roman empire",0.784522
Cake,6.8,10,2018-03-30,125.0,350000.0,ur,کیک,A woman who takes care of her aging parents and their land is joined by her sister when their parents' health worsens.,1.009,,"Drama, Romance, Mystery, Comedy","Indus Takies, ZAB Films","Pakistan, United Kingdom","Sindhi, Urdu",,0.85
Shopgirl,5.8,234,2005-10-21,104.0,10284523.0,en,Shopgirl,"Mirabelle is a disenchanted salesgirl and aspiring artist who sells gloves and accessories at a department store. She has two men in her life: wealthy divorcée Ray Porter and struggling musician Jeremy. Mirabelle falls in love with the glamorous Ray, and her life takes a magical turn, but eventually she realizes that she must empower herself and make a choice between them.",9.843,,"Comedy, Drama, Romance","Touchstone Pictures, Epsilon Motion Pictures, Hyde Park Films, Shopgirl",United States of America,English,salesclerk,11.588205
Bros,6.89,403,2022-09-30,115.0,22000000.0,en,Bros,Two emotionally unavailable men attempt a relationship.,14.485,A romantic comedy that gives you all the feels.,"Comedy, Romance","Universal Pictures, Apatow Productions, Stoller Global Solutions",United States of America,English,"chocolate, screenwriter, museum, romantic comedy, lgbt, emotional vulnerability, gay pride, pride parade, investment banker, gay romance, emotional breakdown, gay theme, gay relationship",14.8
Popstar: Never Stop Never Stopping,6.617,1145,2016-06-03,86.0,20000000.0,en,Popstar: Never Stop Never Stopping,"When his new album fails to sell records, pop/rap superstar Conner4real goes into a major tailspin and watches his celebrity high life begin to collapse. He'll try anything to bounce back, anything except reuniting with his old rap group The Style Boyz.",14.168,,"Comedy, Music","Universal Pictures, Apatow Productions, Party Over, The Lonely Island, Perfect World Pictures",United States of America,English,"concert, musician, pop star, celebrity, mockumentary, record album",9.49613
Charly,6.5,92,1968-09-23,103.0,950000.0,en,Charly,An experiment on a simpleton turns him into a genius. When he discovers what has been done to him he struggles with whether or not what was done to him was right.,8.696,A love story that begins with an incredible experiment!,"Drama, Romance, Science Fiction","ABC Pictures, Cinerama Releasing Corporation",United States of America,English,"experiment, mouse, genius, intelligence test",0.814666
Funny Girl,7.207,363,1968-09-19,155.0,14000000.0,en,Funny Girl,"The story of the life of comedienne Fanny Brice, from her early days in the Jewish slums of the Lower East Side, to the height of her career with the Ziegfeld Follies, including her marriage to and eventual divorce from her second husband, Nick Arnstein.",15.987,People who see FUNNY GIRL are the luckiest people in the world!,"Comedy, Drama, Romance","Columbia Pictures, Rastar Productions",United States of America,English,"marriage, comedian, musical, divorce",52.223306
Wind Chill,5.808,406,2007-04-27,91.0,6000000.0,en,Wind Chill,"Two college students share a ride home for the holidays. When they break down on a deserted stretch of road, they're preyed upon by the ghosts of people who have died there.",13.892,There Are Worse Things Than Dying,"Drama, Horror, Thriller","TriStar Pictures, Blueprint Pictures, Section Eight","Canada, United Kingdom, United States of America",English,"cold, winter, holiday, paranoia, supernatural, snow, crash, trapped in car",0.285
